country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
India,NA,NA,NA,NA,NA,NA,NA,78.91,NA,NA,79.62,NA,NA,NA,NA,NA,NA,NA,73.46,NA,NA,67.95,NA,57.96,NA,NA,83.67,NA,NA,NA,NA,NA,NA,NA
Indonesia,77.55,63.39,59.5,54.75,41.67,78.52,NA,91.58,NA,NA,84.91,NA,NA,NA,88.81,77.52,75.99,61.22,61.46,64.17,56.75,52.74,46.36,43.33,39.4,36.44,NA,NA,NA,85.32,NA,NA,90.58,NA
Iran,NA,NA,11.18,NA,NA,NA,20.44,NA,NA,NA,NA,14.07,NA,NA,12.4,NA,NA,NA,NA,NA,NA,3.05,NA,NA,0.66,NA,NA,NA,NA,18.46,NA,NA,NA,NA
Jamaica,12.87,10.45,NA,NA,NA,NA,NA,NA,NA,NA,29.17,NA,NA,NA,NA,9.51,NA,NA,8.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.54,18.96,NA,NA,NA,NA
Kazakhstan,22.9,26.18,2.86,1.94,0.44,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,31.23,21.26,17.97,5.25,3.74,2.53,1.61,0.71,0.26,NA,NA,NA,0.11,NA,NA,NA,NA,NA
Kenya,NA,NA,58.85,NA,NA,NA,NA,NA,NA,42.84,NA,40.97,NA,45.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kosovo,NA,NA,16.22,NA,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.79,NA,15.13,NA,11.77,12.34,8.58,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyrgyzstan,NA,69.69,49.76,22.74,19.88,75.68,NA,NA,NA,NA,63.85,NA,NA,NA,51.51,NA,71.54,67.6,44.23,37.02,33.58,18.68,21.38,19.25,24.01,17.47,NA,NA,40.74,NA,NA,NA,NA,NA
Laos,NA,61.68,NA,NA,46.86,NA,NA,NA,NA,59.13,NA,NA,NA,67.87,NA,NA,NA,NA,NA,NA,54.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latin America & Caribbean,27.28,25.61,21.37,15.43,11.93,NA,NA,28.47,NA,NA,27.58,NA,NA,NA,NA,26.19,NA,NA,NA,NA,NA,NA,13.83,12.83,11.33,NA,NA,NA,NA,29.54,29.78,NA,34.04,NA
